State/Territory,Total Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,New Cases,New Deaths,Latitude,Longitude
New Hampshire,329230,1416,24213,2565,10,188,104.1,0.7,222,1,43.193852,-71.572395
New Jersey,2444707,20101,27524,33896,85,381,226.3,1.0,3070,17,40.058324,-74.405661
New Mexico,549246,6500,26194,7869,19,375,310.0,0.9,1127,4,34.97273,-105.032363
New York City,2551776,20916,30383,40625,111,483,249.0,1.3,3460,24,40.7128,74.006
New York*,2969161,15394,26858,28112,59,254,139.3,0.5,2414,3,43.299428,-74.217933
North Carolina,2826154,19701,26946,25143,19,239,187.8,0.2,0,0,35.759573,-79.0193
North Dakota,247303,1201,32452,2287,3,300,157.6,0.4,759,2,47.551493,-101.002012
Northern Mariana Islands,11482,79,22144,34,0,59,152.4,0.0,0,0,15.0979,145.6739
Ohio,2798900,18247,23944,38657,0,330,156.1,0.0,0,0,40.417287,-82.907123
Oklahoma,1061792,5014,26834,14472,17,365,126.7,0.4,1915,17,35.007752,-97.092877
Oregon,788128,10428,18686,7721,38,183,247.2,0.9,1519,13,43.804133,-120.554201
Palau,5165,39,23988,6,0,27,181.1,0.0,0,0,7.515,134.5825
Pennsylvania,2972356,17606,23218,45552,139,355,137.5,1.1,2605,29,41.203322,-77.194525
Puerto Rico,723398,24261,22651,4460,40,139,759.7,1.3,4433,11,18.220833,-66.590149
Republic of Marshall Islands,18,0,23,0,0,0,0.0,0.0,0,0,7.1315,171.1845
Rhode Island,379142,2145,35790,3595,11,339,202.5,1.0,366,1,41.580095,-71.477429
South Carolina,1524771,7662,29615,17995,24,349,148.8,0.5,0,0,33.836081,-81.163725
South Dakota,242298,972,27389,2931,3,331,109.9,0.3,972,3,43.969515,-99.901813
Tennessee,2091206,12863,30622,26555,47,388,188.4,0.7,2496,5,35.517491,-86.580447
Texas,6958529,48265,23998,86932,56,299,166.5,0.2,6297,10,31.968599,-99.901813
United States of America,85825048,719256,25851,1007960,1871,303,216.7,0.6,143007,526,37.0902,95.7129
Utah,962209,7502,30013,4793,12,149,234.0,0.4,0,0,39.32098,-111.093731
Vermont,124994,704,20031,647,6,103,112.8,1.0,110,6,44.558803,-72.577841
Virgin Islands,20562,230,19345,117,2,110,216.4,1.9,46,2,18.3358,64.8963
Virginia,1832648,17981,21471,20450,10,239,210.7,0.1,2526,2,37.431573,-78.656894
Washington,1622214,17957,21303,13084,64,171,235.8,0.8,2886,21,47.751074,-120.740139
West Virginia,524432,3536,29263,7016,19,391,197.3,1.1,556,3,38.597626,-80.454903
Wisconsin,1703197,11220,29252,14711,40,252,192.7,0.7,1870,12,43.78444,-88.787868
Wyoming,162160,2453,28019,1824,0,315,423.8,0.0,0,0,43.075968,-107.290284
